episode,timestep,reward
1,46,58.0
3,92,63.5
5,138,73.5
7,184,55.5
9,230,61.5
11,276,76.5
13,322,60.0
15,368,67.0
17,414,71.0
19,460,74.5
21,506,63.0
23,552,65.5
25,598,62.0
27,644,62.5
29,690,65.0
31,736,65.5
33,782,56.5
35,828,67.0
37,874,69.5
39,920,58.5
41,966,80.0
43,1012,65.0
45,1058,82.5
47,1104,88.0
49,1150,58.0
51,1196,72.0
53,1242,60.5
55,1288,84.0
57,1334,70.5
59,1380,64.5
61,1426,71.5
63,1472,66.0
65,1518,59.0
67,1564,61.5
69,1610,65.0
71,1656,68.0
73,1702,66.5
75,1748,63.5
77,1794,70.0
79,1840,62.0
81,1886,58.0
83,1932,77.5
85,1978,64.5
87,2024,64.0
89,2070,65.0
91,2116,59.5
93,2162,58.5
95,2208,81.0
97,2254,68.5
99,2300,66.5
101,2346,66.0
103,2392,62.5
105,2438,71.0
107,2484,73.0
109,2530,64.0
111,2576,54.0
113,2622,57.5
115,2668,70.5
117,2714,83.5
119,2760,89.5
121,2806,71.0
123,2852,72.0
125,2898,74.5
127,2944,65.5
129,2990,66.5
131,3036,60.0
133,3082,71.5
135,3128,60.5
137,3174,79.0
139,3220,82.5
141,3266,59.0
143,3312,56.0
145,3358,65.0
147,3404,82.5
149,3450,62.5
151,3496,58.5
153,3542,75.0
155,3588,71.0
157,3634,80.5
159,3680,63.0
161,3726,60.0
163,3772,59.5
165,3818,63.5
167,3864,67.0
169,3910,65.5
171,3956,64.5
173,4002,75.5
175,4048,91.0
177,4094,87.0
179,4140,80.5
181,4186,68.5
183,4232,74.5
185,4278,67.0
187,4324,78.5
189,4370,65.5
191,4416,70.0
193,4462,56.5
195,4508,65.5
197,4554,66.0
199,4600,63.0
201,4646,82.0
203,4692,78.0
205,4738,96.0
207,4784,71.5
209,4830,66.0
211,4876,75.0
213,4922,84.0
215,4968,70.0
217,5014,71.0
219,5060,82.0
221,5106,76.0
223,5152,62.0
225,5198,68.5
227,5244,85.0
229,5290,72.5
231,5336,68.5
233,5382,92.5
235,5428,79.5
237,5474,111.0
239,5520,60.5
241,5566,69.5
243,5612,57.5
245,5658,64.5
247,5704,88.0
249,5750,67.5
251,5796,93.5
253,5842,78.0
255,5888,79.0
257,5934,80.0
259,5980,72.5
261,6026,64.5
263,6072,75.0
265,6118,94.0
267,6164,90.5
269,6210,73.5
271,6256,75.0
273,6302,59.0
275,6348,65.0
277,6394,64.5
279,6440,82.5
281,6486,59.5
283,6532,77.0
285,6578,82.5
287,6624,89.5
289,6670,62.0
291,6716,72.0
293,6762,72.5
295,6808,75.0
297,6854,69.5
299,6900,93.5
301,6946,87.0
303,6992,78.5
305,7038,79.0
307,7084,72.5
309,7130,69.0
311,7176,80.5
313,7222,91.0
315,7268,79.0
317,7314,83.5
319,7360,77.5
321,7406,86.5
323,7452,58.0
325,7498,74.0
327,7544,77.5
329,7590,74.0
331,7636,95.5
333,7682,60.0
335,7728,77.0
337,7774,113.5
339,7820,73.0
341,7866,74.0
343,7912,66.5
345,7958,85.5
347,8004,79.5
349,8050,82.0
351,8096,71.5
353,8142,61.5
355,8188,87.0
357,8234,77.0
359,8280,87.0
361,8326,80.5
363,8372,87.5
365,8418,74.0
367,8464,87.0
369,8510,82.0
371,8556,78.0
373,8602,74.5
375,8648,75.5
377,8694,105.0
379,8740,66.0
381,8786,83.0
383,8832,79.5
385,8878,56.0
387,8924,81.5
389,8970,91.5
391,9016,91.0
393,9062,104.5
395,9108,85.0
397,9154,80.0
399,9200,79.5
401,9246,67.5
403,9292,67.5
405,9338,71.5
407,9384,95.0
409,9430,72.0
411,9476,68.5
413,9522,77.0
415,9568,64.5
417,9614,92.5
419,9660,82.0
421,9706,83.5
423,9752,97.5
425,9798,89.0
427,9844,80.5
429,9890,60.0
431,9936,64.0
433,9982,82.0
435,10028,85.0
437,10074,83.0
439,10120,64.0
441,10166,66.5
443,10212,78.5
445,10258,69.5
447,10304,63.5
449,10350,75.5
451,10396,101.5
453,10442,71.5
455,10488,72.0
457,10534,107.0
459,10580,69.0
461,10626,99.0
463,10672,84.0
465,10718,110.0
467,10764,63.5
469,10810,88.0
471,10856,84.5
473,10902,92.0
475,10948,76.0
477,10994,64.5
479,11040,108.0
481,11086,90.5
483,11132,69.5
485,11178,74.0
487,11224,86.0
489,11270,96.5
491,11316,95.0
493,11362,89.5
495,11408,84.0
497,11454,78.5
499,11500,92.5
501,11546,92.0
503,11592,95.5
505,11638,93.0
507,11684,101.0
509,11730,84.0
511,11776,85.0
513,11822,86.0
515,11868,78.0
517,11914,72.0
519,11960,72.5
521,12006,95.5
523,12052,63.5
525,12098,93.0
527,12144,94.0
529,12190,77.0
531,12236,100.0
533,12282,81.0
535,12328,102.5
537,12374,79.5
539,12420,80.5
541,12466,93.0
543,12512,108.5
545,12558,93.0
547,12604,79.5
